software_name,aliases,op_type,platform,package_manager,summary,steps,commands,pre_requirements,notes,mode
pulumi,,install,linux,curl,"现代基础设施即代码平台","执行安装脚本","curl -fsSL --connect-timeout 30 https://get.pulumi.com | sh",,,国内可访问,strict
pulumi,,install,macos,brew,"现代基础设施即代码平台","使用 Homebrew 安装","brew install pulumi",homebrew,,strict
pulumi,,update,all,curl,"更新 Pulumi","重新执行安装脚本","curl -fsSL --connect-timeout 30 https://get.pulumi.com | sh",,,strict
ansible,,install,linux-debian,apt,"自动化配置管理","使用 apt 安装","sudo apt update && sudo apt install -y ansible",,,strict
ansible,,install,linux-rhel,dnf,"自动化配置管理","使用 dnf 安装（需 EPEL）","sudo dnf install -y epel-release; sudo dnf install -y ansible",,,EPEL 仓库可使用阿里云镜像,strict
ansible,,install,macos,brew,"自动化配置管理","使用 Homebrew 安装","brew install ansible",homebrew,,strict
teller,,update,all,go,"更新 Teller","配置 GOPROXY 后更新","export GOPROXY=https://goproxy.cn,direct; go install github.com/tellerops/teller@latest",,,strict
cosign,,update,all,go,"更新 Cosign","配置 GOPROXY 后更新","export GOPROXY=https://goproxy.cn,direct; go install github.com/sigstore/cosign/v2/cmd/cosign@latest",,,strict
garnet,,update,linux,curl,"更新 Garnet","下载最新版替换二进制","curl -LO --connect-timeout 30 https://github.com/microsoft/garnet/releases/latest/download/garnet-linux-x64.tar.gz; tar -xzf garnet-linux-x64.tar.gz; sudo mv GarnetServer /usr/local/bin/",,,strict
coder,,update,linux,curl,"更新 Coder","重新执行安装脚本","curl -fsSL --connect-timeout 30 https://coder.com/install.sh | sh",,,strict
smartcat,,update,all,pip,"更新 Smartcat","使用清华镜像更新","pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple; pip install --upgrade smartcat",,,strict
lobe-chat,,update,all,npm,"更新 Lobe Chat","使用淘宝镜像更新","npm config set registry https://registry.npmmirror.com; npm update -g @lobehub/chat",,,strict
page-assist,,update,all,npm,"更新 Page Assist","使用淘宝镜像更新","npm config set registry https://registry.npmmirror.com; npm update -g page-assist",,,strict
gpt-oss,,update,all,npm,"更新 GPT-OSS","使用淘宝镜像更新","npm config set registry https://registry.npmmirror.com; npm update -g gpt-oss",,,strict
opencode-cli,,update,all,npm,"更新 OpenCode CLI","使用淘宝镜像更新","npm config set registry https://registry.npmmirror.com; npm update -g opencode-cli",,,strict
llamaedge,,update,all,cargo,"更新 LlamaEdge","通过中科大镜像更新","cargo install llamaedge --force",,,strict
vllm,,update,all,pip,"更新 vLLM","使用清华镜像更新","pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple; pip install --upgrade vllm",,,strict
ai-cli,,update,all,npm,"更新 ai-cli","使用淘宝镜像更新","npm config set registry https://registry.npmmirror.com; npm update -g ai-cli",,,strict
txtai,,update,all,pip,"更新 txtai","使用清华镜像更新","pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple; pip install --upgrade txtai",,,strict
aingdesk,,update,all,npm,"更新 AingDesk","使用淘宝镜像更新","npm config set registry https://registry.npmmirror.com; npm update -g aingdesk",,,strict
sourcegraph-cody,,update,all,npm,"更新 Sourcegraph Cody","使用淘宝镜像更新","npm config set registry https://registry.npmmirror.com; npm update -g @sourcegraph/cody",,,strict
nodejs,,uninstall,linux-debian,apt,"卸载 Node.js","使用 apt 卸载","sudo apt remove -y nodejs; sudo rm -rf /usr/lib/node_modules",,,strict
nodejs,,uninstall,linux-rhel,dnf,"卸载 Node.js","使用 dnf 卸载","sudo dnf remove -y nodejs; sudo rm -rf /usr/lib/node_modules",,,strict
python,,uninstall,linux,pyenv,"卸载 Python 版本","使用 pyenv 卸载","pyenv uninstall 3.12.8",,,strict
lazygit,,uninstall,linux-debian,apt,"卸载 lazygit","使用 apt 卸载","sudo apt remove -y lazygit",,,strict
lazygit,,uninstall,linux-rhel,dnf,"卸载 lazygit","使用 dnf 卸载","sudo dnf remove -y lazygit",,,strict
fzf,,uninstall,all,git,"卸载 fzf","执行卸载脚本","~/.fzf/uninstall",,,strict
devbox,,uninstall,all,curl,"卸载 devbox","删除二进制文件","rm -f $(which devbox); rm -rf ~/.devbox",,,strict
mise,,uninstall,all,curl,"卸载 mise","删除二进制文件和数据","rm -f $(which mise); rm -rf ~/.local/share/mise ~/.config/mise",,,strict
x-cmd,,uninstall,all,curl,"卸载 x-cmd","执行卸载脚本","~/.x-cmd/bin/uninstall",,,strict
dagger,,uninstall,all,curl,"卸载 dagger","删除二进制文件","rm -f $(which dagger); rm -rf ~/.config/dagger",,,strict
helm,,uninstall,all,curl,"卸载 Helm","删除二进制文件","rm -f $(which helm); rm -rf ~/.config/helm ~/.cache/helm",,,strict
k9s,,uninstall,all,brew,"卸载 k9s","使用 brew 卸载","brew uninstall k9s",,,strict
hermes-agent,,install,all,pip,"多智能体构建框架","配置清华镜像后安装","pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple; pip install hermes-agent",python>=3.10,,strict
hermes-agent,,update,all,pip,"更新 Hermes Agent","使用清华镜像更新","pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple; pip install --upgrade hermes-agent",,,strict
crewai,,install,all,pip,"多智能体协作框架","配置清华镜像后安装","pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple; pip install crewai",python>=3.10,需额外安装依赖如 pydantic,strict
crewai,,update,all,pip,"更新 CrewAI","使用清华镜像更新","pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple; pip install --upgrade crewai",,,strict
langgraph,,install,all,pip,"有状态多参与者应用框架","配置清华镜像后安装","pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple; pip install langgraph",python>=3.10,,strict
langgraph,,update,all,pip,"更新 LangGraph","使用清华镜像更新","pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple; pip install --upgrade langgraph",,,strict
autogen,,install,all,pip,"微软多智能体对话框架","配置清华镜像后安装","pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple; pip install pyautogen",python>=3.10,,strict
autogen,,update,all,pip,"更新 AutoGen","使用清华镜像更新","pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple; pip install --upgrade pyautogen",,,strict
semantic-kernel,,install,all,dotnet,"Microsoft AI 编排 SDK","使用 dotnet 添加包","dotnet add package Microsoft.SemanticKernel",.NET SDK,也有 Python 版 pip install semantic-kernel,strict
semantic-kernel,,update,all,dotnet,"更新 Semantic Kernel","更新 NuGet 包","dotnet add package Microsoft.SemanticKernel --version <最新版号>",,,strict
meta-gpt,,install,all,pip,"多智能体元编程框架","配置清华镜像后安装","pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple; pip install metagpt",python>=3.10,,strict
meta-gpt,,update,all,pip,"更新 MetaGPT","使用清华镜像更新","pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple; pip install --upgrade metagpt",,,strict
chatdev,,install,all,pip,"AI 驱动的软件开发框架","配置清华镜像后安装","pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple; pip install chatdev",python>=3.10,,strict
chatdev,,update,all,pip,"更新 ChatDev","使用清华镜像更新","pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple; pip install --upgrade chatdev",,,strict
openai-agents-sdk,,install,all,pip,"OpenAI 官方智能体 SDK","配置清华镜像后安装","pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple; pip install openai-agents",python>=3.10,,strict
openai-agents-sdk,,update,all,pip,"更新 OpenAI Agents SDK","使用清华镜像更新","pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple; pip install --upgrade openai-agents",,,strict
google-adk,,install,all,pip,"Google Agent Development Kit","配置清华镜像后安装","pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple; pip install google-adk",python>=3.10,,strict
google-adk,,update,all,pip,"更新 Google ADK","使用清华镜像更新","pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple; pip install --upgrade google-adk",,,strict
claude-code,anthropic-claude-code,install,all,npm,"Anthropic 官方终端代码助手","配置淘宝镜像后全局安装","npm config set registry https://registry.npmmirror.com; npm install -g @anthropic-ai/claude-code",nodejs>=18,,strict
claude-code,,update,all,npm,"更新 Claude Code","使用淘宝镜像更新","npm config set registry https://registry.npmmirror.com; npm update -g @anthropic-ai/claude-code",,,strict
shell-gpt,sgpt,install,all,pip,"命令行 ChatGPT 客户端","配置清华镜像后安装","pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple; pip install shell-gpt",python>=3.10,需自行配置 OPENAI_API_KEY,strict
shell-gpt,sgpt,update,all,pip,"更新 ShellGPT","使用清华镜像更新","pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple; pip install --upgrade shell-gpt",,,strict
devenv,,install,all,curl,"声明式开发环境管理器","执行官方安装脚本","curl -fsSL --connect-timeout 30 https://devenv.sh/install.sh | sh",,,也可使用 nix profile install,strict
devenv,,update,all,curl,"更新 Devenv","重新执行安装脚本","curl -fsSL --connect-timeout 30 https://devenv.sh/install.sh | sh",,,strict
nix,,install,linux,curl,"声明式包管理器","使用多用户安装脚本","sh <(curl -L --connect-timeout 30 https://nixos.org/nix/install) --daemon",,,国内可用中科大 nix 镜像频道,strict
nix,nix-channel,configure,linux,nix,"配置 Nix 使用中科大镜像","替换 channels","nix-channel --add https://mirrors.ustc.edu.cn/nix-channels/nixpkgs-unstable nixpkgs; nix-channel --update",,,strict
modal,,install,all,pip,"云端无服务器 Python 运行环境","配置清华镜像后安装","pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple; pip install modal",python>=3.10,需注册账号并 token 认证,strict
modal,,update,all,pip,"更新 Modal","使用清华镜像更新","pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple; pip install --upgrade modal",,,strict
flyctl,,install,linux,curl,"Fly.io CLI 管理工具","执行官方安装脚本","curl -L --connect-timeout 30 https://fly.io/install.sh | sh",,,国内访问可能较慢,strict
flyctl,,install,macos,brew,"Fly.io CLI","使用 Homebrew 安装","brew install flyctl",homebrew,,strict
flyctl,,update,all,curl,"更新 flyctl","重新执行安装脚本","curl -L --connect-timeout 30 https://fly.io/install.sh | sh",,,strict
railway,,install,all,curl,"Railway CLI 工具","执行安装脚本","curl -fsSL --connect-timeout 30 https://railway.com/install.sh | sh",,,也可用 npm: npm i -g @railway/cli,strict
railway,,update,all,curl,"更新 Railway CLI","重新执行安装脚本","curl -fsSL --connect-timeout 30 https://railway.com/install.sh | sh",,,strict
neonctl,,install,all,npm,"Neon 无服务器 Postgres CLI","配置淘宝镜像后全局安装","npm config set registry https://registry.npmmirror.com; npm install -g neonctl",nodejs>=18,,strict
neonctl,,update,all,npm,"更新 neonctl","使用淘宝镜像更新","npm config set registry https://registry.npmmirror.com; npm update -g neonctl",,,strict
turso,,install,linux,curl,"Turso 边缘数据库 CLI","执行官方安装脚本","curl -sSfL --connect-timeout 30 https://get.tur.so/install.sh | sh",,,需要登录 turso auth login,strict
turso,,install,macos,brew,"Turso CLI","使用 Homebrew 安装","brew install tursodatabase/tap/turso",homebrew,,strict
turso,,update,all,curl,"更新 Turso CLI","重新执行安装脚本","curl -sSfL --connect-timeout 30 https://get.tur.so/install.sh | sh",,,strict
planetscale,,install,all,brew,"PlanetScale CLI","使用 Homebrew 安装","brew install planetscale/tap/pscale",homebrew,也可用 curl 脚本但 brew 更稳定,strict
planetscale,,update,all,brew,"更新 pscale","使用 Homebrew 更新","brew upgrade pscale",,,strict
dragonfly,,install,linux,curl,"高性能内存数据存储（Redis 替代）","下载二进制并安装","curl -LO --connect-timeout 30 https://github.com/dragonflydb/dragonfly/releases/latest/download/dragonfly-x86_64.tar.gz; tar -xzf dragonfly-x86_64.tar.gz; sudo mv dragonfly /usr/local/bin/",,,也可用 Docker 部署,strict
dragonfly,,update,linux,curl,"更新 Dragonfly","重新下载最新二进制并替换","curl -LO --connect-timeout 30 https://github.com/dragonflydb/dragonfly/releases/latest/download/dragonfly-x86_64.tar.gz; tar -xzf dragonfly-x86_64.tar.gz; sudo mv dragonfly /usr/local/bin/",,,strict
valkey,,install,linux,curl,"开源高性能键值存储（Redis fork）","下载二进制并安装","curl -LO --connect-timeout 30 https://github.com/valkey-io/valkey/releases/latest/download/valkey-server-linux-x86_64.tar.gz; tar -xzf valkey-server-linux-x86_64.tar.gz; sudo mv valkey-server /usr/local/bin/",,,也可用包管理器或 Docker,strict
valkey,,update,linux,curl,"更新 Valkey","重新下载最新二进制","curl -LO --connect-timeout 30 https://github.com/valkey-io/valkey/releases/latest/download/valkey-server-linux-x86_64.tar.gz; tar -xzf valkey-server-linux-x86_64.tar.gz; sudo mv valkey-server /usr/local/bin/",,,strict
greptimedb,,install,linux,curl,"云原生时序数据库","下载二进制并安装","curl -LO --connect-timeout 30 https://github.com/GreptimeTeam/greptimedb/releases/latest/download/greptime-linux-amd64.tgz; tar -xzf greptime-linux-amd64.tgz; sudo mv greptime /usr/local/bin/",,,严格来说也可用 Docker,strict
greptimedb,,update,linux,curl,"更新 GreptimeDB","重新下载最新二进制","curl -LO --connect-timeout 30 https://github.com/GreptimeTeam/greptimedb/releases/latest/download/greptime-linux-amd64.tgz; tar -xzf greptime-linux-amd64.tgz; sudo mv greptime /usr/local/bin/",,,strict
risingwave,,install,linux,curl,"实时流处理数据库","下载二进制并安装","curl -LO --connect-timeout 30 https://github.com/risingwavelabs/risingwave/releases/latest/download/risingwave-$(uname -m)-linux.tar.gz; tar -xzf risingwave-*.tar.gz; sudo mv risingwave /usr/local/bin/",,,需要 gcc 等依赖，推荐 Docker 部署,strict
risingwave,,update,linux,curl,"更新 RisingWave","重新下载最新二进制","curl -LO --connect-timeout 30 https://github.com/risingwavelabs/risingwave/releases/latest/download/risingwave-$(uname -m)-linux.tar.gz; tar -xzf risingwave-*.tar.gz; sudo mv risingwave /usr/local/bin/",,,strict
tailscale,,install,linux-debian,curl,"零信任网络组网工具","执行官方安装脚本（使用阿里云镜像加速）","curl -fsSL --connect-timeout 30 https://tailscale.com/install.sh | sh",,,国内可使用 tailscale 官方稳定仓库,strict
tailscale,,install,linux-rhel,curl,"零信任网络组网工具","执行官方安装脚本","curl -fsSL --connect-timeout 30 https://tailscale.com/install.sh | sh",,,strict
tailscale,,install,macos,brew,"零信任网络组网工具","使用 Homebrew 安装","brew install tailscale",homebrew,,strict
tailscale,,update,all,curl,"更新 Tailscale","按系统包管理器或重执行安装脚本","curl -fsSL --connect-timeout 30 https://tailscale.com/install.sh | sh",,,strict
cloudflared,,install,linux-debian,curl,"Cloudflare Tunnel 客户端","下载 deb 包并安装","curl -LO --connect-timeout 30 https://github.com/cloudflare/cloudflared/releases/latest/download/cloudflared-linux-amd64.deb; sudo dpkg -i cloudflared-linux-amd64.deb",,,国内 GitHub 下载可能慢，可使用代理,strict
cloudflared,,install,linux-rhel,curl,"Cloudflare Tunnel 客户端","下载 rpm 包并安装","curl -LO --connect-timeout 30 https://github.com/cloudflare/cloudflared/releases/latest/download/cloudflared-linux-x86_64.rpm; sudo rpm -ivh cloudflared-linux-x86_64.rpm",,,strict
cloudflared,,install,macos,brew,"Cloudflare Tunnel 客户端","使用 Homebrew 安装","brew install cloudflare/cloudflare/cloudflared",homebrew,,strict
cloudflared,,update,all,curl,"更新 cloudflared","重新下载对应系统的包进行安装","见各平台 install 命令，下载最新版覆盖安装",,,视平台选择对应 install 命令,strict
headscale,,install,linux,curl,"Tailscale 兼容的开源协调服务器","下载二进制并安装","curl -LO --connect-timeout 30 https://github.com/juanfont/headscale/releases/latest/download/headscale_linux_amd64; chmod +x headscale_linux_amd64; sudo mv headscale_linux_amd64 /usr/local/bin/headscale",,,需要自行编写配置文件,strict
headscale,,update,linux,curl,"更新 Headscale","重新下载最新二进制并替换","curl -LO --connect-timeout 30 https://github.com/juanfont/headscale/releases/latest/download/headscale_linux_amd64; chmod +x headscale_linux_amd64; sudo mv headscale_linux_amd64 /usr/local/bin/headscale",,,strict
btop,,install,linux-debian,apt,"现代化系统资源监控工具（top 替代）","使用 apt 安装","sudo apt update && sudo apt install -y btop",,,strict
btop,,install,linux-rhel,dnf,"现代化系统资源监控工具（top 替代）","使用 dnf 安装","sudo dnf install -y btop",,,strict
btop,,install,macos,brew,"现代化系统资源监控工具（top 替代）","使用 Homebrew 安装","brew install btop",homebrew,,strict
du-dust,dust,install,all,cargo,"现代化 du 替代品，直观显示磁盘占用","配置中科大 Cargo 镜像后安装","mkdir -p ~/.cargo && echo '[source.crates-io]\nreplace-with = \"ustc\"\n[source.ustc]\nregistry = \"sparse+https://mirrors.ustc.edu.cn/crates.io-index/\"' > ~/.cargo/config.toml; cargo install du-dust",rust,命令为 dust,strict
du-dust,dust,update,all,cargo,"更新 dust","通过中科大镜像更新","cargo install du-dust --force",rust,,strict
procs,,install,all,cargo,"现代化 ps 替代品，彩色表格输出","配置中科大 Cargo 镜像后安装","mkdir -p ~/.cargo && echo '[source.crates-io]\nreplace-with = \"ustc\"\n[source.ustc]\nregistry = \"sparse+https://mirrors.ustc.edu.cn/crates.io-index/\"' > ~/.cargo/config.toml; cargo install procs",rust,,strict
procs,,update,all,cargo,"更新 procs","通过中科大镜像更新","cargo install procs --force",rust,,strict
bottom,btm,install,all,cargo,"现代化系统监控工具（top/htop 替代）","配置中科大 Cargo 镜像后安装","mkdir -p ~/.cargo && echo '[source.crates-io]\nreplace-with = \"ustc\"\n[source.ustc]\nregistry = \"sparse+https://mirrors.ustc.edu.cn/crates.io-index/\"' > ~/.cargo/config.toml; cargo install bottom",rust,命令为 btm,strict
bottom,btm,update,all,cargo,"更新 bottom","通过中科大镜像更新","cargo install bottom --force",rust,,strict
glances,,install,all,pip,"跨平台系统监控工具","配置清华镜像后安装","pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple; pip install glances",python>=3.8,,strict
glances,,install,macos,brew,"跨平台系统监控工具","使用 Homebrew 安装","brew install glances",homebrew,,strict
jq,,install,linux-debian,apt,"轻量级 JSON 处理工具","使用 apt 安装","sudo apt update && sudo apt install -y jq",,,strict
jq,,install,linux-rhel,dnf,"轻量级 JSON 处理工具","使用 dnf 安装","sudo dnf install -y jq",,,strict
jq,,install,macos,brew,"轻量级 JSON 处理工具","使用 Homebrew 安装","brew install jq",homebrew,,strict
yq,,install,linux,curl,"便携式 YAML/JSON 处理工具（mikefarah 版 Go 实现）","从 GitHub 下载最新二进制","sudo wget -q --connect-timeout 30 https://github.com/mikefarah/yq/releases/latest/download/yq_linux_amd64 -O /usr/local/bin/yq; sudo chmod +x /usr/local/bin/yq",,,国内 GitHub 下载可能慢，可使用 ghproxy 代理,strict
yq,,install,macos,brew,"便携式 YAML/JSON 处理工具","使用 Homebrew 安装","brew install yq",homebrew,,strict
yq,,update,linux,curl,"更新 yq","重新下载最新二进制覆盖","sudo wget -q --connect-timeout 30 https://github.com/mikefarah/yq/releases/latest/download/yq_linux_amd64 -O /usr/local/bin/yq; sudo chmod +x /usr/local/bin/yq",,,strict
httpie,http,install,linux-debian,apt,"用户友好的 HTTP 命令行客户端","使用 apt 安装","sudo apt update && sudo apt install -y httpie",,,strict
httpie,http,install,linux-rhel,dnf,"用户友好的 HTTP 命令行客户端","使用 dnf 安装","sudo dnf install -y httpie",,,strict
httpie,http,install,macos,brew,"用户友好的 HTTP 命令行客户端","使用 Homebrew 安装","brew install httpie",homebrew,,strict
httpie,http,install,all,pip,"用户友好的 HTTP 命令行客户端","配置清华镜像后安装","pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple; pip install httpie",python>=3.8,,strict
curlie,,install,all,go,"curl + httpie 融合的 HTTP 客户端","配置 GOPROXY 后安装","export GOPROXY=https://goproxy.cn,direct; go install github.com/rs/curlie@latest",go>=1.18,,strict
curlie,,install,macos,brew,"curl + httpie 融合的 HTTP 客户端","使用 Homebrew 安装","brew install curlie",homebrew,,strict
rsync,,install,linux-debian,apt,"高效增量文件同步工具","使用 apt 安装","sudo apt update && sudo apt install -y rsync",,,strict
rsync,,install,linux-rhel,dnf,"高效增量文件同步工具","使用 dnf 安装","sudo dnf install -y rsync",,,strict
rsync,,install,macos,brew,"高效增量文件同步工具","使用 Homebrew 安装（系统自带版本较旧）","brew install rsync",homebrew,,strict
tmux,,install,linux-debian,apt,"终端复用器","使用 apt 安装","sudo apt update && sudo apt install -y tmux",,,strict
tmux,,install,linux-rhel,dnf,"终端复用器","使用 dnf 安装","sudo dnf install -y tmux",,,strict
tmux,,install,macos,brew,"终端复用器","使用 Homebrew 安装","brew install tmux",homebrew,,strict
zellij,,install,all,cargo,"现代化终端复用器（Rust 实现）","配置中科大 Cargo 镜像后安装","mkdir -p ~/.cargo && echo '[source.crates-io]\nreplace-with = \"ustc\"\n[source.ustc]\nregistry = \"sparse+https://mirrors.ustc.edu.cn/crates.io-index/\"' > ~/.cargo/config.toml; cargo install zellij",rust,,strict
zellij,,install,macos,brew,"现代化终端复用器","使用 Homebrew 安装","brew install zellij",homebrew,,strict
zellij,,update,all,cargo,"更新 zellij","通过中科大镜像更新","cargo install zellij --force",rust,,strict
mosh,,install,linux-debian,apt,"移动 shell（弱网下保持 SSH 会话）","使用 apt 安装","sudo apt update && sudo apt install -y mosh",,,服务端需开放 60000-61000 UDP 端口,strict
mosh,,install,linux-rhel,dnf,"移动 shell（弱网下保持 SSH 会话）","使用 dnf 安装（需 EPEL）","sudo dnf install -y epel-release; sudo dnf install -y mosh",,,服务端需开放 60000-61000 UDP 端口,strict
mosh,,install,macos,brew,"移动 shell","使用 Homebrew 安装","brew install mosh",homebrew,,strict
lazydocker,lzd,install,linux,curl,"终端 Docker 管理界面","执行官方安装脚本","curl -fsSL --connect-timeout 30 https://raw.githubusercontent.com/jesseduffield/lazydocker/master/scripts/install_update_linux.sh | bash",,,若 raw.githubusercontent.com 无法访问需手动下载,strict
lazydocker,lzd,install,macos,brew,"终端 Docker 管理界面","使用 Homebrew 安装","brew install jesseduffield/lazydocker/lazydocker",homebrew,,strict
caddy,,install,linux-debian,apt,"自动 HTTPS 的现代 Web 服务器","添加 Caddy 官方仓库并安装","sudo apt install -y debian-keyring debian-archive-keyring apt-transport-https; curl -1sLf 'https://dl.cloudsmith.io/public/caddy/stable/gpg.key' | sudo gpg --dearmor -o /usr/share/keyrings/caddy-stable-archive-keyring.gpg; curl -1sLf 'https://dl.cloudsmith.io/public/caddy/stable/debian.deb.txt' | sudo tee /etc/apt/sources.list.d/caddy-stable.list; sudo apt update; sudo apt install -y caddy",,,Caddy 官方 Cloudsmith 仓库国内可访问,strict
caddy,,install,linux-rhel,dnf,"自动 HTTPS 的现代 Web 服务器","启用 copr 仓库后安装","sudo dnf install -y 'dnf-command(copr)'; sudo dnf copr enable @caddy/caddy; sudo dnf install -y caddy",,,strict
caddy,,install,macos,brew,"自动 HTTPS 的现代 Web 服务器","使用 Homebrew 安装","brew install caddy",homebrew,,strict
traefik,,install,linux,curl,"现代云原生反向代理与负载均衡","从 GitHub 下载最新二进制","TRAEFIKVER=$(curl -s https://api.github.com/repos/traefik/traefik/releases/latest | grep '\"tag_name\"' | cut -d'\"' -f4); curl -L https://github.com/traefik/traefik/releases/download/${TRAEFIKVER}/traefik_${TRAEFIKVER}_linux_amd64.tar.gz | tar -xz -C /tmp traefik; sudo mv /tmp/traefik /usr/local/bin/; sudo chmod +x /usr/local/bin/traefik",,,国内 GitHub 下载可能慢,strict
traefik,,install,macos,brew,"现代云原生反向代理与负载均衡","使用 Homebrew 安装","brew install traefik",homebrew,,strict
ngrok,,install,linux-debian,apt,"内网穿透工具","添加 ngrok 官方 apt 仓库并安装","curl -s https://ngrok-agent.s3.amazonaws.com/ngrok.asc | sudo tee /etc/apt/trusted.gpg.d/ngrok.asc >/dev/null; echo \"deb https://ngrok-agent.s3.amazonaws.com buster main\" | sudo tee /etc/apt/sources.list.d/ngrok.list; sudo apt update; sudo apt install -y ngrok",,,安装后需执行 ngrok config add-authtoken <token> 完成认证,strict
ngrok,,install,macos,brew,"内网穿透工具","使用 Homebrew 安装","brew install ngrok/ngrok/ngrok",homebrew,需注册账号并配置 authtoken,strict
frp,,install,linux,curl,"轻量级内网穿透工具（fatedier/frp）","从 GitHub 下载最新版本并安装 frps/frpc","FRPVER=$(curl -s https://api.github.com/repos/fatedier/frp/releases/latest | grep '\"tag_name\"' | cut -d'\"' -f4); curl -L https://github.com/fatedier/frp/releases/download/${FRPVER}/frp_${FRPVER#v}_linux_amd64.tar.gz -o /tmp/frp.tar.gz; tar -xzf /tmp/frp.tar.gz -C /tmp; sudo mv /tmp/frp_${FRPVER#v}_linux_amd64/frps /usr/local/bin/; sudo mv /tmp/frp_${FRPVER#v}_linux_amd64/frpc /usr/local/bin/; rm -rf /tmp/frp.tar.gz /tmp/frp_${FRPVER#v}_linux_amd64",,,需自行编写 frps.toml/frpc.toml,strict
frp,,update,linux,curl,"更新 frp","重新下载最新版本覆盖二进制","FRPVER=$(curl -s https://api.github.com/repos/fatedier/frp/releases/latest | grep '\"tag_name\"' | cut -d'\"' -f4); curl -L https://github.com/fatedier/frp/releases/download/${FRPVER}/frp_${FRPVER#v}_linux_amd64.tar.gz -o /tmp/frp.tar.gz; tar -xzf /tmp/frp.tar.gz -C /tmp; sudo mv /tmp/frp_${FRPVER#v}_linux_amd64/frps /usr/local/bin/; sudo mv /tmp/frp_${FRPVER#v}_linux_amd64/frpc /usr/local/bin/; rm -rf /tmp/frp.tar.gz /tmp/frp_${FRPVER#v}_linux_amd64",,,strict
rclone,,install,linux,curl,"云存储同步工具（支持 70+ 云端）","执行官方安装脚本","sudo -v; curl -fsSL --connect-timeout 30 https://rclone.org/install.sh | sudo bash",,,rclone.org 国内可访问,strict
rclone,,install,macos,brew,"云存储同步工具","使用 Homebrew 安装","brew install rclone",homebrew,,strict
rclone,,update,linux,curl,"更新 rclone","重新执行安装脚本","sudo -v; curl -fsSL --connect-timeout 30 https://rclone.org/install.sh | sudo bash",,,strict
syncthing,,install,linux-debian,apt,"去中心化文件同步工具","使用 apt 安装","sudo apt update && sudo apt install -y syncthing",,,系统仓库版本可能较旧，建议添加 syncthing 官方 apt 仓库获取新版,strict
syncthing,,install,macos,brew,"去中心化文件同步工具","使用 Homebrew 安装","brew install syncthing",homebrew,,strict
magic-wormhole,wormhole,install,linux-debian,apt,"安全文件传输工具（基于 PAKE 协议）","使用 apt 安装","sudo apt update && sudo apt install -y magic-wormhole",,,strict
magic-wormhole,wormhole,install,linux-rhel,dnf,"安全文件传输工具","使用 dnf 安装","sudo dnf install -y magic-wormhole",,,strict
magic-wormhole,wormhole,install,all,pip,"安全文件传输工具","配置清华镜像后安装","pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple; pip install magic-wormhole",python>=3.8,,strict
magic-wormhole,wormhole,install,macos,brew,"安全文件传输工具","使用 Homebrew 安装","brew install magic-wormhole",homebrew,,strict
gemini-cli,gemini,install,all,npm,"Google 官方终端 AI 助手（Gemini 2.5/3 Pro）","配置淘宝镜像后全局安装","npm config set registry https://registry.npmmirror.com; npm install -g @google/gemini-cli",nodejs>=18,,strict
gemini-cli,gemini,update,all,npm,"更新 Gemini CLI","使用淘宝镜像更新","npm config set registry https://registry.npmmirror.com; npm update -g @google/gemini-cli",,,strict
k3d,,install,linux,curl,"在 Docker 中运行 K3s 的轻量级 K8s 工具","执行官方安装脚本","curl -s --connect-timeout 30 https://raw.githubusercontent.com/k3d-io/k3d/main/install.sh | bash",,,若 raw.githubusercontent.com 无法访问需手动下载,strict
k3d,,install,macos,brew,"在 Docker 中运行 K3s 的轻量级 K8s 工具","使用 Homebrew 安装","brew install k3d",homebrew,,strict
